image_id,input_path,target_path
0002be68-04ec-442b-9d26-418d9c229b33_g0,automatic-lens-correction\lens-correction-train-cleaned\0002be68-04ec-442b-9d26-418d9c229b33_g0_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0002be68-04ec-442b-9d26-418d9c229b33_g0_generated.jpg
0002be68-04ec-442b-9d26-418d9c229b33_g13,automatic-lens-correction\lens-correction-train-cleaned\0002be68-04ec-442b-9d26-418d9c229b33_g13_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0002be68-04ec-442b-9d26-418d9c229b33_g13_generated.jpg
0002be68-04ec-442b-9d26-418d9c229b33_g8,automatic-lens-correction\lens-correction-train-cleaned\0002be68-04ec-442b-9d26-418d9c229b33_g8_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0002be68-04ec-442b-9d26-418d9c229b33_g8_generated.jpg
0002be68-04ec-442b-9d26-418d9c229b33_g9,automatic-lens-correction\lens-correction-train-cleaned\0002be68-04ec-442b-9d26-418d9c229b33_g9_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0002be68-04ec-442b-9d26-418d9c229b33_g9_generated.jpg
004c8332-10e1-4b52-80fb-3e4f3c8b27d6_g5,automatic-lens-correction\lens-correction-train-cleaned\004c8332-10e1-4b52-80fb-3e4f3c8b27d6_g5_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\004c8332-10e1-4b52-80fb-3e4f3c8b27d6_g5_generated.jpg
0053c48d-8c01-454e-b68e-ec68d551c70c_g9,automatic-lens-correction\lens-correction-train-cleaned\0053c48d-8c01-454e-b68e-ec68d551c70c_g9_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0053c48d-8c01-454e-b68e-ec68d551c70c_g9_generated.jpg
0059090b-ec8b-416a-9497-d86447722ff0_g0,automatic-lens-correction\lens-correction-train-cleaned\0059090b-ec8b-416a-9497-d86447722ff0_g0_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0059090b-ec8b-416a-9497-d86447722ff0_g0_generated.jpg
005d2d22-0430-41eb-b750-ced7e437bb01_g5,automatic-lens-correction\lens-correction-train-cleaned\005d2d22-0430-41eb-b750-ced7e437bb01_g5_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\005d2d22-0430-41eb-b750-ced7e437bb01_g5_generated.jpg
005dc963-7dc7-4ae4-8623-be865c9954a2_g1,automatic-lens-correction\lens-correction-train-cleaned\005dc963-7dc7-4ae4-8623-be865c9954a2_g1_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\005dc963-7dc7-4ae4-8623-be865c9954a2_g1_generated.jpg
0077cdbd-7265-4202-88d1-cd158f88fab5_g0,automatic-lens-correction\lens-correction-train-cleaned\0077cdbd-7265-4202-88d1-cd158f88fab5_g0_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0077cdbd-7265-4202-88d1-cd158f88fab5_g0_generated.jpg
0077cdbd-7265-4202-88d1-cd158f88fab5_g1,automatic-lens-correction\lens-correction-train-cleaned\0077cdbd-7265-4202-88d1-cd158f88fab5_g1_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0077cdbd-7265-4202-88d1-cd158f88fab5_g1_generated.jpg
0077cdbd-7265-4202-88d1-cd158f88fab5_g11,automatic-lens-correction\lens-correction-train-cleaned\0077cdbd-7265-4202-88d1-cd158f88fab5_g11_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0077cdbd-7265-4202-88d1-cd158f88fab5_g11_generated.jpg
00bc3b6c-c3be-44e0-977f-f649ab165f01_g19,automatic-lens-correction\lens-correction-train-cleaned\00bc3b6c-c3be-44e0-977f-f649ab165f01_g19_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\00bc3b6c-c3be-44e0-977f-f649ab165f01_g19_generated.jpg
00f968da-7b69-443e-ba63-06b26835513c_g10,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g10_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g10_generated.jpg
00f968da-7b69-443e-ba63-06b26835513c_g12,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g12_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g12_generated.jpg
00f968da-7b69-443e-ba63-06b26835513c_g14,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g14_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g14_generated.jpg
00f968da-7b69-443e-ba63-06b26835513c_g16,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g16_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g16_generated.jpg
00f968da-7b69-443e-ba63-06b26835513c_g17,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g17_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g17_generated.jpg
00f968da-7b69-443e-ba63-06b26835513c_g18,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g18_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g18_generated.jpg
00f968da-7b69-443e-ba63-06b26835513c_g19,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g19_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g19_generated.jpg
00f968da-7b69-443e-ba63-06b26835513c_g2,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g2_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g2_generated.jpg
00f968da-7b69-443e-ba63-06b26835513c_g8,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g8_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\00f968da-7b69-443e-ba63-06b26835513c_g8_generated.jpg
0109b9ed-8c2b-48ce-93ee-b9245ec22644_g14,automatic-lens-correction\lens-correction-train-cleaned\0109b9ed-8c2b-48ce-93ee-b9245ec22644_g14_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0109b9ed-8c2b-48ce-93ee-b9245ec22644_g14_generated.jpg
010d5c1c-548a-4c66-bf6b-171f4f2262a3_g4,automatic-lens-correction\lens-correction-train-cleaned\010d5c1c-548a-4c66-bf6b-171f4f2262a3_g4_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\010d5c1c-548a-4c66-bf6b-171f4f2262a3_g4_generated.jpg
010d5c1c-548a-4c66-bf6b-171f4f2262a3_g5,automatic-lens-correction\lens-correction-train-cleaned\010d5c1c-548a-4c66-bf6b-171f4f2262a3_g5_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\010d5c1c-548a-4c66-bf6b-171f4f2262a3_g5_generated.jpg
010d5c1c-548a-4c66-bf6b-171f4f2262a3_g7,automatic-lens-correction\lens-correction-train-cleaned\010d5c1c-548a-4c66-bf6b-171f4f2262a3_g7_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\010d5c1c-548a-4c66-bf6b-171f4f2262a3_g7_generated.jpg
010d5c1c-548a-4c66-bf6b-171f4f2262a3_g8,automatic-lens-correction\lens-correction-train-cleaned\010d5c1c-548a-4c66-bf6b-171f4f2262a3_g8_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\010d5c1c-548a-4c66-bf6b-171f4f2262a3_g8_generated.jpg
010d5c1c-548a-4c66-bf6b-171f4f2262a3_g9,automatic-lens-correction\lens-correction-train-cleaned\010d5c1c-548a-4c66-bf6b-171f4f2262a3_g9_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\010d5c1c-548a-4c66-bf6b-171f4f2262a3_g9_generated.jpg
01148a4ea6b4b2de8fdbb032685b9eceb5148b6f6e_g1,automatic-lens-correction\lens-correction-train-cleaned\01148a4ea6b4b2de8fdbb032685b9eceb5148b6f6e_g1_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01148a4ea6b4b2de8fdbb032685b9eceb5148b6f6e_g1_generated.jpg
012439ca-95f3-423a-81af-e57ac9e3c533_g4,automatic-lens-correction\lens-correction-train-cleaned\012439ca-95f3-423a-81af-e57ac9e3c533_g4_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\012439ca-95f3-423a-81af-e57ac9e3c533_g4_generated.jpg
012e2e5c-81ae-4224-9432-b2abad4124ac_g7,automatic-lens-correction\lens-correction-train-cleaned\012e2e5c-81ae-4224-9432-b2abad4124ac_g7_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\012e2e5c-81ae-4224-9432-b2abad4124ac_g7_generated.jpg
013bf6db-a76f-402a-ac7b-02d4c6b56012_g19,automatic-lens-correction\lens-correction-train-cleaned\013bf6db-a76f-402a-ac7b-02d4c6b56012_g19_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\013bf6db-a76f-402a-ac7b-02d4c6b56012_g19_generated.jpg
